Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,160094,-,b'Karnataka',b'India',12.98,77.59,5,931,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed,Pressure,Solar Zenith Angle
2019,1,4,3,0,0,0,0,10.9,1.4000000000000001,915,134.91
2019,1,4,4,0,0,0,0,10.4,1.3,915,121.10000000000001
2019,1,4,5,0,0,0,0,10,1.2000000000000002,916,107.32000000000001
2019,1,4,6,0,0,0,0,10.8,1.3,917,93.7
2019,1,4,7,0,129,430,56,14.9,2.7,917,80.29
2019,1,4,8,0,370,728,92,20,4,918,67.53
2019,1,4,9,0,595,861,109,23.700000000000003,5,917,55.64
2019,1,4,10,0,770,927,119,26.1,5.4,917,45.38
2019,1,4,11,0,880,973,115,27.900000000000002,5.5,916,38.11
2019,1,4,12,0,914,985,115,29,5.5,915,35.74
2019,1,4,13,0,864,971,111,29.5,5.4,914,39.15
2019,1,4,14,0,744,949,98,29.3,5.2,913,47.11
2019,1,4,15,0,560,886,87,28.5,4.9,914,57.76
2019,1,4,16,0,331,756,70,26.700000000000003,4.2,914,69.86
2019,1,4,17,0,93,435,38,21.900000000000002,2.1,915,82.72
2019,1,4,18,0,0,0,0,19.8,2.3000000000000003,915,96.22
2019,1,4,19,0,0,0,0,18.7,2.6,916,109.89
2019,1,4,20,0,0,0,0,17.5,2.6,916,123.69
2019,1,4,21,0,0,0,0,16.400000000000002,2.5,916,137.5
2019,1,4,22,0,0,0,0,15.3,2.4000000000000004,916,151.12
2019,1,4,23,0,0,0,0,14.100000000000001,2.1,915,163.8
2019,1,5,0,0,0,0,0,13,1.7000000000000002,915,170.21
2019,1,5,1,0,0,0,0,11.9,1.4000000000000001,914,161.69
2019,1,5,2,0,0,0,0,11,1.2000000000000002,914,148.71
2019,1,5,3,0,0,0,0,10.5,1.1,914,135.02
2019,1,5,4,0,0,0,0,10.9,1.2000000000000002,914,121.2
2019,1,5,5,0,0,0,0,11,1.8,915,107.41
2019,1,5,6,0,0,0,0,11.200000000000001,2.2,916,93.78
2019,1,5,7,0,136,504,52,13.8,2.6,917,80.36
2019,1,5,8,0,281,356,145,18.900000000000002,3.4000000000000004,917,67.58
2019,1,5,9,0,610,926,87,22.700000000000003,3.5,916,55.660000000000004
2019,1,5,10,0,787,987,93,25.900000000000002,3.4000000000000004,916,45.37
2019,1,5,11,0,893,1015,94,28.400000000000002,3.3000000000000003,915,38.050000000000004
2019,1,5,12,0,926,1022,95,30,3.3000000000000003,913,35.63
2019,1,5,13,0,876,1008,93,30.8,3.3000000000000003,912,39.01
2019,1,5,14,0,749,952,99,30.8,3.2,911,46.96
2019,1,5,15,0,561,881,89,30,3.2,911,57.61
2019,1,5,16,0,331,746,72,28.1,2.6,912,69.72
2019,1,5,17,0,93,421,39,22.400000000000002,1.4000000000000001,913,82.59
2019,1,5,18,0,0,0,0,20.400000000000002,1.7000000000000002,914,96.10000000000001
2019,1,5,19,0,0,0,0,19.3,2.1,914,109.77
2019,1,5,20,0,0,0,0,18.1,2.3000000000000003,915,123.58
2019,1,5,21,0,0,0,0,16.900000000000002,2.4000000000000004,915,137.41
2019,1,5,22,0,0,0,0,15.8,2.4000000000000004,914,151.05
2019,1,5,23,0,0,0,0,14.700000000000001,2.1,914,163.78
2019,1,6,0,0,0,0,0,13.600000000000001,1.7000000000000002,913,170.33
2019,1,6,1,0,0,0,0,12.700000000000001,1.3,913,161.83
2019,1,6,2,0,0,0,0,12.3,1.1,913,148.83
2019,1,6,3,0,0,0,0,12.600000000000001,1.1,912,135.14000000000001
2019,1,6,4,0,0,0,0,12.700000000000001,1.3,913,121.3
2019,1,6,5,0,0,0,0,12.5,1.3,913,107.5
2019,1,6,6,0,0,0,0,12.5,1.4000000000000001,914,93.85000000000001
2019,1,6,7,0,127,419,58,14.4,1.5,915,80.42
2019,1,6,8,0,376,767,84,18.900000000000002,1.7000000000000002,915,67.62
2019,1,6,9,0,609,924,88,24.700000000000003,2.5,915,55.68
2019,1,6,10,0,793,997,92,27.900000000000002,2.7,914,45.35
2019,1,6,11,0,895,995,111,30,2.8000000000000003,913,37.99
2019,1,6,12,0,929,1004,112,31.3,2.9000000000000004,912,35.51
2019,1,6,13,0,883,993,110,31.900000000000002,2.9000000000000004,910,38.86
2019,1,6,14,0,755,949,106,31.8,3,910,46.81
2019,1,6,15,0,568,879,96,30.900000000000002,3,910,57.47
2019,1,6,16,0,336,739,78,28.700000000000003,2.4000000000000004,910,69.58
2019,1,6,17,0,95,406,41,22.700000000000003,1.5,911,82.46000000000001
2019,1,6,18,0,0,0,0,20.8,2.1,912,95.97
2019,1,6,19,0,0,0,0,19.900000000000002,2.8000000000000003,913,109.66
2019,1,6,20,0,0,0,0,18.6,2.8000000000000003,914,123.48
2019,1,6,21,0,0,0,0,17.400000000000002,2.7,914,137.32
2019,1,6,22,0,0,0,0,16.5,2.7,914,150.98
2019,1,6,23,0,0,0,0,15.5,2.5,913,163.76
2019,1,7,0,0,0,0,0,14.3,2,913,170.46
2019,1,7,1,0,0,0,0,13.3,1.6,912,161.98
2019,1,7,2,0,0,0,0,13.200000000000001,1.5,911,148.96
2019,1,7,3,0,0,0,0,13.3,1.8,912,135.25
2019,1,7,4,0,0,0,0,13.100000000000001,1.7000000000000002,912,121.4
2019,1,7,5,0,0,0,0,12.8,1.4000000000000001,913,107.58
2019,1,7,6,0,0,0,0,12.8,1.7000000000000002,913,93.93
2019,1,7,7,0,129,429,58,14.8,2,914,80.48
2019,1,7,8,0,377,778,81,19.1,2.4000000000000004,915,67.66
2019,1,7,9,0,609,925,87,24.3,3.1,914,55.7
2019,1,7,10,0,788,988,93,27.6,3.5,913,45.32
2019,1,7,11,0,898,1013,99,29.700000000000003,3.7,912,37.910000000000004
2019,1,7,12,0,932,1021,100,31,3.6,911,35.38
2019,1,7,13,0,882,1005,98,31.5,3.6,910,38.71
2019,1,7,14,0,757,956,101,31.3,3.5,909,46.65
2019,1,7,15,0,568,884,91,30.400000000000002,3.4000000000000004,909,57.31
2019,1,7,16,0,336,745,74,28.5,2.9000000000000004,910,69.44
2019,1,7,17,0,97,425,41,23,1.5,911,82.33
2019,1,7,18,0,0,0,0,21.200000000000003,2,912,95.85000000000001
2019,1,7,19,0,0,0,0,20.3,2.5,913,109.54
2019,1,7,20,0,0,0,0,19.200000000000003,2.8000000000000003,914,123.37
2019,1,7,21,0,0,0,0,17.900000000000002,2.6,914,137.23
2019,1,7,22,0,0,0,0,16.7,2.4000000000000004,914,150.91
2019,1,7,23,0,0,0,0,15.600000000000001,2,913,163.74
2019,1,8,0,0,0,0,0,14.600000000000001,1.6,913,170.6
2019,1,8,1,0,0,0,0,13.700000000000001,1.2000000000000002,912,162.13
2019,1,8,2,0,0,0,0,13,1,912,149.09
2019,1,8,3,0,0,0,0,12.600000000000001,0.9,912,135.36
2019,1,8,4,0,0,0,0,12.600000000000001,0.9,913,121.49000000000001
2019,1,8,5,0,0,0,0,12.600000000000001,0.9,913,107.67
2019,1,8,6,0,0,0,0,13.100000000000001,0.8,914,94
2019,1,8,7,0,120,395,55,16.900000000000002,1.6,915,80.53
2019,1,8,8,0,351,654,103,21.700000000000003,2.6,916,67.7
2019,1,8,9,0,570,773,135,25.400000000000002,3.5,915,55.7
2019,1,8,10,0,742,837,154,27.5,3.4000000000000004,914,45.29
2019,1,8,11,0,883,981,108,29.3,3.3000000000000003,913,37.83
2019,1,8,12,0,919,995,107,30.5,3.3000000000000003,912,35.25
2019,1,8,13,0,876,989,103,31.1,3.3000000000000003,911,38.550000000000004
2019,1,8,14,0,747,919,114,31,3.4000000000000004,910,46.49
2019,1,8,15,0,562,847,103,30.200000000000003,3.5,910,57.160000000000004
2019,1,8,16,0,331,703,83,28.400000000000002,3.2,911,69.29
2019,1,8,17,0,96,382,44,23.1,1.7000000000000002,911,82.2
2019,1,8,18,0,0,0,0,21.200000000000003,2.3000000000000003,912,95.73
2019,1,8,19,0,0,0,0,20.400000000000002,2.9000000000000004,913,109.43
2019,1,8,20,0,0,0,0,19,2.9000000000000004,914,123.27
2019,1,8,21,0,0,0,0,17.2,2.2,913,137.14000000000001
2019,1,8,22,0,0,0,0,15.8,1.7000000000000002,913,150.85
2019,1,8,23,0,0,0,0,14.8,1.5,913,163.73
2019,1,9,0,0,0,0,0,13.9,1.4000000000000001,912,170.74
2019,1,9,1,0,0,0,0,13.100000000000001,1.2000000000000002,912,162.28
2019,1,9,2,0,0,0,0,12.4,1,911,149.21
2019,1,9,3,0,0,0,0,12.100000000000001,0.9,912,135.46
2019,1,9,4,0,0,0,0,12,0.9,912,121.58
2019,1,9,5,0,0,0,0,11.9,1,913,107.75
2019,1,9,6,0,0,0,0,12.5,0.9,914,94.06
2019,1,9,7,0,112,323,59,16.5,1.7000000000000002,915,80.58
2019,1,9,8,0,344,605,115,21.5,2.7,915,67.73
2019,1,9,9,0,566,750,144,25.700000000000003,3.6,915,55.71
2019,1,9,10,0,745,833,158,28.200000000000003,3.6,914,45.26
2019,1,9,11,0,879,949,128,30.200000000000003,3.7,913,37.74
2019,1,9,12,0,912,954,132,31.400000000000002,3.6,911,35.11
2019,1,9,13,0,867,939,131,31.900000000000002,3.6,910,38.38
2019,1,9,14,0,752,920,116,31.8,3.5,910,46.32
2019,1,9,15,0,567,851,103,30.900000000000002,3.5,910,57
2019,1,9,16,0,337,717,82,28.900000000000002,2.7,910,69.15
2019,1,9,17,0,99,405,43,22.900000000000002,1.6,911,82.07000000000001
2019,1,9,18,0,0,0,0,20.900000000000002,2,912,95.60000000000001
2019,1,9,19,0,0,0,0,19.8,2.3000000000000003,913,109.32000000000001
2019,1,9,20,0,0,0,0,18.5,2.6,913,123.17
2019,1,9,21,0,0,0,0,17.2,2.5,913,137.06
2019,1,9,22,0,0,0,0,16.2,2.6,913,150.79
2019,1,9,23,0,0,0,0,15.200000000000001,2.5,913,163.72
2019,1,10,0,0,0,0,0,14.100000000000001,2,912,170.89000000000001
2019,1,10,1,0,0,0,0,13.200000000000001,1.6,912,162.43
2019,1,10,2,0,0,0,0,12.4,1.4000000000000001,912,149.33
2019,1,10,3,0,0,0,0,12.5,1.3,912,135.57
